id,dep,nom_simple,nom,nom_espace,nom_reel,long,lat
259,1,priay,PRIAY,priay,Priay,5.28333,46
260,1,peyrieu,PEYRIEU,peyrieu,Peyrieu,5.67751,45.6767
261,1,lalleyriat,LALLEYRIAT,lalleyriat,Lalleyriat,5.71667,46.15
262,1,sergy-01,SERGY,sergy,Sergy,6,46.25
263,1,saint-martin-du-frene,SAINT-MARTIN-DU-FRENE,saint martin du frene,Saint-Martin-du-Frêne,5.55,46.1333
264,1,saint-maurice-de-beynost,SAINT-MAURICE-DE-BEYNOST,saint maurice de beynost,Saint-Maurice-de-Beynost,4.96667,45.8333
265,1,servas-01,SERVAS,servas,Servas,5.16667,46.1333
266,1,cuzieu-01,CUZIEU,cuzieu,Cuzieu,5.67445,45.8192
267,1,jayat,JAYAT,jayat,Jayat,5.11667,46.3667
268,1,lavours,LAVOURS,lavours,Lavours,5.76667,45.8
269,1,chevroux,CHEVROUX,chevroux,Chevroux,4.95,46.3833
270,1,pollieu,POLLIEU,pollieu,Pollieu,5.75,45.8
271,1,beligneux,BELIGNEUX,beligneux,Béligneux,5.11667,45.8667
272,1,brenaz,BRENAZ,brenaz,Brénaz,5.71667,45.95
273,1,benonces,BENONCES,benonces,Bénonces,5.48333,45.8333
274,1,saint-jean-le-vieux-01,SAINT-JEAN-LE-VIEUX,saint jean le vieux,Saint-Jean-le-Vieux,5.38917,46.0284
275,1,beauregard-01,BEAUREGARD,beauregard,Beauregard,4.75139,46.002
276,1,oyonnax,OYONNAX,oyonnax,Oyonnax,5.66667,46.25
277,1,mionnay,MIONNAY,mionnay,Mionnay,4.93333,45.9
278,1,germagnat,GERMAGNAT,germagnat,Germagnat,5.45,46.3167
279,1,coligny,COLIGNY,coligny,Coligny,5.35,46.3833
280,1,simandre-sur-suran,SIMANDRE-SUR-SURAN,simandre sur suran,Simandre-sur-Suran,5.41667,46.2167
281,1,abergement-clemenciat,L'ABERGEMENT-CLEMENCIAT,l abergement clemenciat,L'Abergement-Clémenciat,4.91667,46.15
