id,dep,name,long,lat
524,2,bonnesvalyn,3.31667,49.1167
525,2,haution,3.83333,49.85
526,2,berzy le sec,3.31667,49.3333
527,2,la vallee au ble,3.78333,49.8667
528,2,le catelet,3.25,50
529,2,gizy,3.76667,49.6
530,2,saint algis,3.81667,49.8833
531,2,saint aubin,3.18333,49.5167
532,2,bancigny,4.01667,49.8
533,2,villeneuve sur fere,3.46667,49.1833
534,2,fleury,3.15639,49.2581
535,2,quincy sous le mont,3.55,49.3
536,2,besny et loizy,3.58333,49.6
537,2,chery les rozoy,4.08333,49.7167
538,2,chauny,3.21667,49.6167
539,2,sommette eaucourt,3.11667,49.7333
540,2,lierval,3.61667,49.4833
541,2,chezy sur marne,3.36667,48.9833
542,2,oulches la vallee foulon,3.75,49.4333
543,2,anizy le chateau,3.45,49.5
544,2,maizy,3.73333,49.3833
545,2,fourdrain,3.46667,49.6
546,2,nampteuil sous muret,3.41667,49.3
547,2,urcel,3.55,49.5
548,2,louatre,3.25,49.25
549,2,barzy en thierache,3.75,50.0333
550,2,conde en brie,3.55,49
551,2,dampleux,3.15,49.25
552,2,sommelans,3.3,49.1333
553,2,pontruet,3.23333,49.9
554,2,oigny en valois,3.13333,49.2167
555,2,loupeigne,3.53333,49.25
556,2,lhuys,3.55,49.2833
557,2,eparcy,4.06667,49.8667
558,2,la chapelle monthodon,3.63333,49.0167
559,2,morsain,3.18333,49.45
560,2,jaulgonne,3.53333,49.0833
561,2,chermizy ailles,3.73333,49.4667
562,2,becquigny,3.46973,50.0173
563,2,festieux,3.75,49.5167
564,2,villers les guise,3.68333,49.9
565,2,nampcelles la cour,4,49.7833
566,2,montigny en arrouaise,3.48333,49.9
567,2,berrieux,3.85,49.4833
568,2,chigny,3.76667,49.9167
569,2,muret et crouttes,3.41667,49.2833
570,2,flavigny le grand et beaurain,3.66473,49.8909
571,2,laon,3.61667,49.5667
572,2,saint clement,4.06667,49.7667
573,2,dercy,3.68333,49.7
574,2,anguilcourt le sart,3.43333,49.6833
575,2,villers en prayeres,3.66667,49.3833
576,2,chalandry,3.63333,49.6833
577,2,laval en laonnois,3.6,49.5
578,2,fressancourt,3.41667,49.6167
579,2,le sourd,3.75,49.8667
580,2,fontaine notre dame,3.43333,49.8833
581,2,chery chartreuve,3.61667,49.2667
582,2,mortefontaine,3.07611,49.3317
583,2,serain,3.36667,50.0167
584,2,maast et violaine,3.45,49.2833
585,2,neuville sur ailette,3.7,49.4667
586,2,francilly selency,3.23333,49.85
587,2,bezu le guery,3.23333,49.0167
588,2,marle,3.76667,49.7333
589,2,leme,3.76667,49.8333
590,2,cierges,3.6,49.1667
591,2,craonne,3.78333,49.4333
592,2,courtemont varennes,3.55,49.0667
593,2,pommiers,3.26667,49.4
594,2,gland,3.46667,49.05
595,2,landouzy la cour,3.98333,49.85
596,2,montigny les conde,3.56667,48.9833
597,2,leuilly sous coucy,3.33333,49.4833
598,2,ploisy,3.3,49.3333
599,2,serval,3.68333,49.35
600,2,billy sur ourcq,3.3,49.2167
601,2,ambrief,3.4,49.3167
602,2,prisces,3.86667,49.7833
603,2,roupy,3.18333,49.8167
604,2,roncheres,3.6,49.15
605,2,lugny,3.81667,49.7833
606,2,chezy en orxois,3.18333,49.1333
607,2,dhuizel,3.61667,49.3667
608,2,etampes sur marne,3.41667,49.0333
609,2,vaux en vermandois,3.15,49.8167
610,2,boue,3.7,50.0167
611,2,la fere,3.36667,49.6667
